,game_id,date,duration,platform,p1_char,p2_char,p3_char,p4_char,stage,is_teams,is_pal
0,20190406T182021,2019-04-06 18:20:21+00:00,11653,Platform.NINTENDONT,14.0,,,9.0,32,False,False
1,20190406T054329,2019-04-06 05:43:29+00:00,1435,Platform.NINTENDONT,,20.0,18.0,,31,False,False
2,20190406T113710,2019-04-06 11:37:10+00:00,7577,Platform.NINTENDONT,22.0,2.0,2.0,2.0,3,True,False
3,20190406T060932,2019-04-06 06:09:32+00:00,9589,Platform.NINTENDONT,20.0,,,7.0,28,False,False
4,20190406T063208,2019-04-06 06:32:08+00:00,10043,Platform.NINTENDONT,14.0,,,9.0,8,False,False
5,20190406T132735,2019-04-06 13:27:35+00:00,12883,Platform.NINTENDONT,16.0,,,16.0,2,False,False
6,20190406T162102,2019-04-06 16:21:02+00:00,5168,Platform.NINTENDONT,,,19.0,25.0,31,False,False
7,20190406T193851,2019-04-06 19:38:51+00:00,10627,Platform.NINTENDONT,2.0,,,2.0,3,False,False
8,20190406T165651,2019-04-06 16:56:51+00:00,9608,Platform.NINTENDONT,,20.0,,2.0,28,False,False
9,20190406T173027,2019-04-06 17:30:27+00:00,11072,Platform.NINTENDONT,7.0,,,20.0,3,False,False
10,20190406T091908,2019-04-06 09:19:08+00:00,7424,Platform.NINTENDONT,2.0,0.0,20.0,7.0,3,True,False
11,20190406T015639,2019-04-06 01:56:39+00:00,5610,Platform.NINTENDONT,9.0,,,20.0,8,False,False
12,20190406T190633,2019-04-06 19:06:33+00:00,7016,Platform.NINTENDONT,20.0,,,2.0,8,False,False
13,20190406T104708,2019-04-06 10:47:08+00:00,12301,Platform.NINTENDONT,,,2.0,9.0,28,False,False
14,20190406T133629,2019-04-06 13:36:29+00:00,8593,Platform.NINTENDONT,2.0,2.0,,,28,False,False
15,20190406T165309,2019-04-06 16:53:09+00:00,11689,Platform.NINTENDONT,,,0.0,16.0,32,False,False
16,20190406T173219,2019-04-06 17:32:19+00:00,7497,Platform.NINTENDONT,9.0,,,0.0,28,False,False
17,20190406T175640,2019-04-06 17:56:40+00:00,8679,Platform.NINTENDONT,19.0,,,0.0,28,False,False
18,20190406T203008,2019-04-06 20:30:08+00:00,10629,Platform.NINTENDONT,16.0,,0.0,,31,False,False
19,20190405T110217,2019-04-05 11:02:17+00:00,3031,Platform.NINTENDONT,2.0,,18.0,,31,False,False
20,20190406T102225,2019-04-06 10:22:25+00:00,5384,Platform.NINTENDONT,,12.0,,2.0,32,False,False
21,20190406T044258,2019-04-06 04:42:58+00:00,10377,Platform.NINTENDONT,,,9.0,2.0,32,False,False
22,20190406T151641,2019-04-06 15:16:41+00:00,19524,Platform.NINTENDONT,12.0,,,12.0,31,False,False
23,20190406T105210,2019-04-06 10:52:10+00:00,9850,Platform.NINTENDONT,20.0,20.0,,,8,False,False
24,20190406T153056,2019-04-06 15:30:56+00:00,6112,Platform.NINTENDONT,,,17.0,18.0,32,False,False
25,20190406T155341,2019-04-06 15:53:41+00:00,10414,Platform.NINTENDONT,9.0,,,16.0,32,False,False
26,20190406T185410,2019-04-06 18:54:10+00:00,11005,Platform.NINTENDONT,9.0,9.0,,,2,False,False
27,20190309T021112,2019-03-09 02:11:12+00:00,8011,Platform.NINTENDONT,9.0,,,2.0,8,False,False
28,20190406T164836,2019-04-06 16:48:36+00:00,1586,Platform.NINTENDONT,,16.0,0.0,,31,False,False
29,20190406T193500,2019-04-06 19:35:00+00:00,9960,Platform.NINTENDONT,8.0,,,7.0,8,False,False
30,20190406T103846,2019-04-06 10:38:46+00:00,9844,Platform.NINTENDONT,20.0,25.0,2.0,19.0,3,True,False
31,20190308T234124,2019-03-08 23:41:24+00:00,14445,Platform.NINTENDONT,20.0,,,6.0,3,False,False
32,20190406T175734,2019-04-06 17:57:34+00:00,125,Platform.NINTENDONT,18.0,,,12.0,32,False,False
33,20190309T032350,2019-03-09 03:23:50+00:00,7941,Platform.NINTENDONT,20.0,20.0,,,8,False,False
34,20190406T080756,2019-04-06 08:07:56+00:00,10232,Platform.NINTENDONT,19.0,20.0,,,8,False,False
35,20190406T143721,2019-04-06 14:37:21+00:00,10299,Platform.NINTENDONT,0.0,,16.0,,31,False,False
36,20190406T160846,2019-04-06 16:08:46+00:00,12191,Platform.NINTENDONT,1.0,,,9.0,32,False,False
37,20190406T141650,2019-04-06 14:16:50+00:00,11070,Platform.NINTENDONT,20.0,,,0.0,31,False,False
38,20190406T162710,2019-04-06 16:27:10+00:00,8153,Platform.NINTENDONT,,,0.0,15.0,31,False,False
39,20190406T165651 copy,2019-04-06 16:56:51+00:00,13589,Platform.NINTENDONT,0.0,,,15.0,28,False,False
40,20190406T085835,2019-04-06 08:58:35+00:00,11931,Platform.NINTENDONT,,22.0,17.0,,8,False,False
41,20190406T121615,2019-04-06 12:16:15+00:00,11100,Platform.NINTENDONT,20.0,20.0,,,31,False,False
42,20190309T011205,2019-03-09 01:12:05+00:00,15950,Platform.NINTENDONT,,7.0,,16.0,2,False,False
43,20190406T161224,2019-04-06 16:12:24+00:00,7385,Platform.NINTENDONT,1.0,,,9.0,8,False,False
44,20190406T172258,2019-04-06 17:22:58+00:00,10019,Platform.NINTENDONT,2.0,,,0.0,2,False,False
45,20190406T205726,2019-04-06 20:57:26+00:00,13889,Platform.NINTENDONT,9.0,,,16.0,32,False,False
46,20190406T170301,2019-04-06 17:03:01+00:00,11908,Platform.NINTENDONT,9.0,,15.0,,28,False,False
47,20190406T173112 copy,2019-04-06 17:31:12+00:00,3270,Platform.NINTENDONT,9.0,,,0.0,32,False,False
48,20190406T083510,2019-04-06 08:35:10+00:00,141,Platform.NINTENDONT,,22.0,,1.0,31,False,False
49,20190406T112209,2019-04-06 11:22:09+00:00,9441,Platform.NINTENDONT,14.0,9.0,18.0,9.0,31,True,False
50,20190406T192421,2019-04-06 19:24:21+00:00,12908,Platform.NINTENDONT,2.0,14.0,,,31,False,False
51,20190309T001943,2019-03-09 00:19:43+00:00,8175,Platform.NINTENDONT,2.0,,,9.0,3,False,False
52,20190406T051318,2019-04-06 05:13:18+00:00,1890,Platform.NINTENDONT,9.0,,,9.0,32,False,False
53,20190406T194722,2019-04-06 19:47:22+00:00,13812,Platform.NINTENDONT,25.0,,2.0,,28,False,False
54,20190406T172728,2019-04-06 17:27:28+00:00,12614,Platform.NINTENDONT,2.0,,,2.0,28,False,False
55,20190406T165532,2019-04-06 16:55:32+00:00,3168,Platform.NINTENDONT,,,2.0,15.0,32,False,False
56,20190406T192810,2019-04-06 19:28:10+00:00,12592,Platform.NINTENDONT,2.0,14.0,,,28,False,False
57,20190406T035305,2019-04-06 03:53:05+00:00,12352,Platform.NINTENDONT,,22.0,,16.0,32,False,False
58,20190406T211237,2019-04-06 21:12:37+00:00,1095,Platform.NINTENDONT,,,6.0,16.0,3,False,False
59,20190406T070117,2019-04-06 07:01:17+00:00,6512,Platform.NINTENDONT,20.0,,15.0,,28,False,False
60,20190309T002053,2019-03-09 00:20:53+00:00,6420,Platform.NINTENDONT,9.0,,,16.0,32,False,False
61,20190406T204148,2019-04-06 20:41:48+00:00,7080,Platform.NINTENDONT,20.0,,,6.0,8,False,False
62,20190406T162513,2019-04-06 16:25:13+00:00,11063,Platform.NINTENDONT,1.0,,,9.0,8,False,False
63,20190406T151132,2019-04-06 15:11:32+00:00,7906,Platform.NINTENDONT,,,0.0,9.0,31,False,False
64,20190309T014816,2019-03-09 01:48:16+00:00,9812,Platform.NINTENDONT,20.0,,,20.0,2,False,False
65,20190406T101739,2019-04-06 10:17:39+00:00,10314,Platform.NINTENDONT,12.0,,2.0,,31,False,False
66,20190406T163802,2019-04-06 16:38:02+00:00,17276,Platform.NINTENDONT,9.0,,,16.0,32,False,False
67,20190308T234858,2019-03-08 23:48:58+00:00,14361,Platform.NINTENDONT,,,19.0,15.0,2,False,False
68,20190406T210854,2019-04-06 21:08:54+00:00,12604,Platform.NINTENDONT,,,6.0,16.0,31,False,False
69,20190309T005927,2019-03-09 00:59:27+00:00,9872,Platform.NINTENDONT,2.0,,,19.0,3,False,False
70,20190406T085439,2019-04-06 08:54:39+00:00,11522,Platform.NINTENDONT,,,3.0,25.0,28,False,False
71,20190406T210840,2019-04-06 21:08:40+00:00,10255,Platform.NINTENDONT,,9.0,,2.0,32,False,False
72,20190406T134153,2019-04-06 13:41:53+00:00,6060,Platform.NINTENDONT,9.0,,,7.0,31,False,False
73,20190309T011629,2019-03-09 01:16:29+00:00,6926,Platform.NINTENDONT,2.0,20.0,,,31,False,False
74,20190309T031512,2019-03-09 03:15:12+00:00,8056,Platform.NINTENDONT,20.0,2.0,,,28,False,False
75,20190309T033305,2019-03-09 03:33:05+00:00,9048,Platform.NINTENDONT,21.0,11.0,,,8,False,False
76,20190406T145741,2019-04-06 14:57:41+00:00,15492,Platform.NINTENDONT,9.0,15.0,,,31,False,False
77,20190406T112625,2019-04-06 11:26:25+00:00,10484,Platform.NINTENDONT,20.0,20.0,,,2,False,False
78,20190406T173740,2019-04-06 17:37:40+00:00,8466,Platform.NINTENDONT,2.0,,,2.0,8,False,False
79,20190406T161344,2019-04-06 16:13:44+00:00,10181,Platform.NINTENDONT,20.0,,,9.0,2,False,False
80,20190406T191921,2019-04-06 19:19:21+00:00,11341,Platform.NINTENDONT,19.0,,,7.0,2,False,False
81,20190406T180838,2019-04-06 18:08:38+00:00,18517,Platform.NINTENDONT,15.0,,,14.0,2,False,False
82,20190406T171619,2019-04-06 17:16:19+00:00,9379,Platform.NINTENDONT,1.0,2.0,,,3,False,False
83,20190406T191712,2019-04-06 19:17:12+00:00,13448,Platform.NINTENDONT,,8.0,,25.0,31,False,False
84,20190406T180151,2019-04-06 18:01:51+00:00,8718,Platform.NINTENDONT,9.0,,,20.0,8,False,False
85,20190406T180637,2019-04-06 18:06:37+00:00,8161,Platform.NINTENDONT,9.0,,,20.0,31,False,False
86,20190406T155746,2019-04-06 15:57:46+00:00,9842,Platform.NINTENDONT,19.0,,,0.0,31,False,False
87,20190406T130647,2019-04-06 13:06:47+00:00,10079,Platform.NINTENDONT,7.0,10.0,,,3,False,False
88,20190406T102811,2019-04-06 10:28:11+00:00,10178,Platform.NINTENDONT,,12.0,,2.0,2,False,False
89,20190406T190142,2019-04-06 19:01:42+00:00,8711,Platform.NINTENDONT,20.0,,,2.0,2,False,False
90,20190406T104737,2019-04-06 10:47:37+00:00,13759,Platform.NINTENDONT,,9.0,0.0,,3,False,False
